Date,Price
11/10/2022,Rp. 13.509
11/11/2022,Rp. 13.509
11/12/2022,Rp. 13.509
11/13/2022,Rp. 13.509
11/14/2022,Rp. 13.509
11/15/2022,Rp. 13.509
11/16/2022,Rp. 13.521
11/17/2022,Rp. 13.521
11/18/2022,Rp. 13.521
11/19/2022,Rp. 13.521
11/20/2022,Rp. 13.521
11/21/2022,Rp. 13.521
11/22/2022,Rp. 13.521
11/23/2022,Rp. 13.532
11/24/2022,Rp. 13.532
11/25/2022,Rp. 13.532
11/26/2022,Rp. 13.532
11/27/2022,Rp. 13.532
11/28/2022,Rp. 13.532
11/29/2022,Rp. 13.548
11/30/2022,Rp. 13.548
12/1/2022,Rp. 13.548
12/2/2022,Rp. 13.548
12/3/2022,Rp. 13.548
12/4/2022,Rp. 13.548
12/5/2022,Rp. 13.548
12/6/2022,Rp. 13.553
12/7/2022,Rp. 13.567
12/8/2022,Rp. 13.567
12/9/2022,Rp. 13.567
12/10/2022,Rp. 13.567
12/11/2022,Rp. 13.567
12/12/2022,Rp. 13.568
12/13/2022,Rp. 13.583
12/14/2022,Rp. 13.592
12/15/2022,Rp. 13.592
12/16/2022,Rp. 13.592
12/17/2022,Rp. 13.592
12/18/2022,Rp. 13.592
12/19/2022,Rp. 13.594
12/20/2022,Rp. 13.595
12/21/2022,Rp. 13.644
12/22/2022,Rp. 13.644
12/23/2022,Rp. 13.644
12/24/2022,Rp. 13.644
12/25/2022,Rp. 13.644
12/26/2022,Rp. 13.644
12/27/2022,Rp. 13.642
12/28/2022,Rp. 13.655
12/29/2022,Rp. 13.655
12/30/2022,Rp. 13.655
12/31/2022,Rp. 13.655
1/1/2023,Rp. 13.655
1/2/2023,Rp. 13.645
1/3/2023,Rp. 13.574
1/4/2023,Rp. 13.525
1/5/2023,Rp. 13.525
1/6/2023,Rp. 13.525
1/7/2023,Rp. 13.525
1/8/2023,Rp. 13.525
1/9/2023,Rp. 13.525
1/10/2023,Rp. 13.577
1/11/2023,Rp. 13.555
1/12/2023,Rp. 13.555
1/13/2023,Rp. 13.555
1/14/2023,Rp. 13.555
1/15/2023,Rp. 13.555
1/16/2023,Rp. 13.555
1/17/2023,Rp. 13.564
1/18/2023,Rp. 13.564
1/19/2023,Rp. 13.564
1/20/2023,Rp. 13.564
1/21/2023,Rp. 13.564
1/22/2023,Rp. 13.564
1/23/2023,Rp. 13.564
1/24/2023,Rp. 13.600
1/25/2023,Rp. 13.619
1/26/2023,Rp. 13.617
1/27/2023,Rp. 13.617
1/28/2023,Rp. 13.617
1/29/2023,Rp. 13.617
1/30/2023,Rp. 13.606
1/31/2023,Rp. 13.656
2/1/2023,Rp. 13.658
2/2/2023,Rp. 13.658
2/3/2023,Rp. 13.658
2/4/2023,Rp. 13.658
2/5/2023,Rp. 13.658
2/6/2023,Rp. 13.658
2/7/2023,Rp. 13.668
2/8/2023,Rp. 13.677
2/9/2023,Rp. 13.682
2/10/2023,Rp. 13.682
2/11/2023,Rp. 13.682
2/12/2023,Rp. 13.682
2/13/2023,Rp. 13.682
2/14/2023,Rp. 13.692
2/15/2023,Rp. 13.698
2/16/2023,Rp. 13.698
2/17/2023,Rp. 13.698
2/18/2023,Rp. 13.698
2/19/2023,Rp. 13.698
2/20/2023,Rp. 13.698
2/21/2023,Rp. 13.711
2/22/2023,Rp. 13.752
2/23/2023,Rp. 13.752
2/24/2023,Rp. 13.752
2/25/2023,Rp. 13.752
2/26/2023,Rp. 13.752
2/27/2023,Rp. 13.739
2/28/2023,Rp. 13.752
3/1/2023,Rp. 13.771
3/2/2023,Rp. 13.771
3/3/2023,Rp. 13.771
3/4/2023,Rp. 13.771
3/5/2023,Rp. 13.771
3/6/2023,Rp. 13.819
3/7/2023,Rp. 13.789
3/8/2023,Rp. 13.791
3/9/2023,Rp. 13.791
3/10/2023,Rp. 13.791
3/11/2023,Rp. 13.791
3/12/2023,Rp. 13.791
3/13/2023,Rp. 13.792
3/14/2023,Rp. 13.798
3/15/2023,Rp. 13.821
3/16/2023,Rp. 13.821
3/17/2023,Rp. 13.821
3/18/2023,Rp. 13.821
3/19/2023,Rp. 13.821
3/20/2023,Rp. 13.821
3/21/2023,Rp. 13.827
3/22/2023,Rp. 13.841
3/23/2023,Rp. 13.841
3/24/2023,Rp. 13.841
3/25/2023,Rp. 13.841
3/26/2023,Rp. 13.841
3/27/2023,Rp. 13.841
3/28/2023,Rp. 13.876
3/29/2023,Rp. 13.897
3/30/2023,Rp. 13.897
3/31/2023,Rp. 13.897
4/1/2023,Rp. 13.897
4/2/2023,Rp. 13.897
4/3/2023,Rp. 13.897
4/4/2023,Rp. 13.956
4/5/2023,Rp. 14.015
4/6/2023,Rp. 14.017
4/7/2023,Rp. 14.017
4/8/2023,Rp. 14.017
4/9/2023,Rp. 14.017
4/10/2023,Rp. 14.017
4/11/2023,Rp. 14.062
4/12/2023,Rp. 14.096
4/13/2023,Rp. 14.096
4/14/2023,Rp. 14.096
4/15/2023,Rp. 14.096
4/16/2023,Rp. 14.096
4/17/2023,Rp. 14.096
4/18/2023,Rp. 14.114
4/19/2023,Rp. 14.117
4/20/2023,Rp. 14.163
4/21/2023,Rp. 14.163
4/22/2023,Rp. 14.163
4/23/2023,Rp. 14.163
4/24/2023,Rp. 14.163
4/25/2023,Rp. 14.174
4/26/2023,Rp. 14.170
4/27/2023,Rp. 14.170
4/28/2023,Rp. 14.170
4/29/2023,Rp. 14.170
4/30/2023,Rp. 14.170
5/1/2023,Rp. 14.170
5/2/2023,Rp. 14.176
5/3/2023,Rp. 14.177
5/4/2023,Rp. 14.177
5/5/2023,Rp. 14.177
5/6/2023,Rp. 14.177
5/7/2023,Rp. 14.177
5/8/2023,Rp. 14.165
5/9/2023,Rp. 14.167
5/10/2023,Rp. 14.324
5/11/2023,Rp. 14.324
5/12/2023,Rp. 14.324
5/13/2023,Rp. 14.324
5/14/2023,Rp. 14.324
5/15/2023,Rp. 14.324
5/16/2023,Rp. 14.324
5/17/2023,Rp. 14.333
5/18/2023,Rp. 14.333
5/19/2023,Rp. 14.333
5/20/2023,Rp. 14.333
5/21/2023,Rp. 14.333
5/22/2023,Rp. 14.333
5/23/2023,Rp. 14.353
5/24/2023,Rp. 14.420
5/25/2023,Rp. 14.420
5/26/2023,Rp. 14.420
5/27/2023,Rp. 14.420
